0,4,577,80292,9
1,4,654,00101,8
2,4,564,60108,3
3,4,89815,117,5
4,4,7628,2363,5
5,4,86053,024,1
6,4,7631,9601,4
7,4,7973,2821,5
8,4,332,51026,7
9,4,569,63015,4
10,4,433,21984,3
11,4,8067,1277,9
12,4,492,50131,2
13,4,8047,1663,7
14,4,492,50123,1
15,4,06,212607,9
16,4,334,93341,6
17,4,478,47071,5
18,4,569,66253,6
19,4,569,63951,8
20,4,7503,2007,2
21,4,591,08392,6
22,4,309,26794,7
23,4,19,861935,2
24,4,916029,87,9
25,4,577,80289,9
26,4,577,80290,2
27,4,532,35125,1
28,4,340,02506,2
29,4,88372,228,7
30,4,14,011207,7
31,4,86081,053,8
32,4,06,274886,X
33,4,384,03060,6
34,4,7673,1094,6
35,4,652,07806,4
36,4,88309,255,0
37,4,569,63653,5
38,4,86061,102,0
39,4,7710,1591,0
40,4,499,22876,X
41,4,7770,5052,1
42,4,86182,009,X
43,4,8265,0389,X
44,4,7974,6591,3
45,4,04,375901,0
46,4,8122,0419,4
47,4,8329,6431,3
48,4,396,61212,5
49,4,86121,003,8
50,4,89613,583,0
51,4,8163,3625,7
52,4,18,406933,9
53,4,18,514014,2
54,4,18,520910,X
55,4,06,268959,6
56,4,415,07058,2
57,4,8379,7384,1
58,4,05,202249,1
59,4,05,202246,7
60,4,931490,65,4
61,4,931490,66,2
62,4,7974,5006,1
63,4,931490,68,9
64,4,931490,67,0
65,4,7890,1177,1
66,4,901436,36,8
67,4,946440,86,0
68,4,19,861973,5
69,4,478,20085,8
70,4,492,39430,3
71,4,06,197306,1
72,4,19,861972,7
73,4,492,73193,8
74,4,478,60043,0
75,4,8355,8453,8
76,4,492,39431,1
77,4,418,04526,0
78,4,250,20413,8
79,4,569,63546,6
80,4,8188,1552,7
81,4,478,62062,8
82,4,907654,59,6
83,4,326,60171,X
84,4,590,01174,3
85,4,641,28091,6
86,4,569,66108,4
87,4,535,58361,7
88,4,18,807712,3
89,4,901750,30,5
90,4,418,04720,4
91,4,623,03982,X
92,4,08,747761,4
93,4,275,00319,5
94,4,902886,00,6
95,4,86014,020,6
96,4,925243,05,5
97,4,7614,0404,3
98,4,87662,375,9
99,4,8057,3126,5
100,4,7955,0907,7
101,4,582,63063,4
102,4,7620,1361,7
103,4,7710,1628,3
104,4,88713,556,4
105,4,7710,1565,1
106,4,88346,597,7
107,4,87361,774,X
108,4,7857,1164,7
109,4,938662,68,X
110,4,7531,0236,X
111,4,8460,0503,8
112,4,89063,174,7
113,4,89063,173,9
114,4,7710,1592,9
115,4,87769,065,4
116,4,88372,185,X
117,4,7503,1883,3
118,4,623,04021,6
119,4,7503,1957,0
120,4,88346,489,X
121,4,8188,1584,5
122,4,09,840091,X
123,4,480,06156,8
124,4,87290,195,9
125,4,18,507813,7
126,4,324,07482,8
127,4,522,42194,X
128,4,86121,004,6
129,4,09,727502,X
130,4,7767,9023,8
131,4,492,22248,0
132,4,569,63157,6
133,4,408,10604,6
134,4,569,66280,3
135,4,14,080879,9
136,4,7980,0788,9
137,4,06,212454,8
138,4,8355,7498,2
139,4,09,727503,8
140,4,87380,868,5
141,4,87380,867,7
142,4,05,202250,5
143,4,05,202247,5
144,4,88648,741,6
145,4,10,610058,4
146,4,06,256835,7
147,4,87303,277,6
148,4,86059,027,9
149,4,88309,261,5
150,4,8399,1608,X
151,4,654,00102,6
152,4,426,11010,6
153,4,7741,2227,0
154,4,7848,1656,9
155,4,8355,8265,9
156,4,474,11313,6
157,4,405,10096,9
158,4,654,00103,4
159,4,8429,1309,6
160,4,7569,0762,8
161,4,8284,1170,4
162,4,8284,1171,2
163,4,569,66204,8
164,4,05,202251,3
165,4,05,202248,3
166,4,08,720236,4
167,4,539,71880,0
168,4,408,10582,1
169,4,8314,0077,7
170,4,7974,4198,4
